location,latitude,longitude,price
Brooklyn,40.699287,-73.956512,610950.0
Brooklyn,40.693653,-74.000275,999950.0
Brooklyn,40.66008,-73.943146,1550000.0
Brooklyn,40.68848,-73.955254,1073000.0
Brooklyn,40.662544,-73.93866,399000.0
Brooklyn,40.681305,-73.951523,1550000.0
Brooklyn,40.605515,-74.00531,1230000.0
Brooklyn,40.628788,-73.925682,650000.0
Brooklyn,40.616119,-73.970627,1850000.0
Brooklyn,40.618801,-73.941208,800000.0
Brooklyn,40.591534,-73.950844,915000.0
Brooklyn,40.627251,-73.981216,1885000.0
Brooklyn,40.71434,-73.964478,1900000.0
Brooklyn,40.658855,-73.937897,1230000.0
Brooklyn,40.685497,-73.987984,7900000.0
Brooklyn,40.672516,-73.944984,1507320.0
Brooklyn,40.684937,-73.906982,1330000.0
Brooklyn,40.679554,-73.991356,2310000.0
Brooklyn,40.694553,-73.920258,1115000.0
Brooklyn,40.691818,-73.920601,925000.0
Brooklyn,40.606686,-73.913918,760000.0
Brooklyn,40.597885,-73.993553,1500000.0
Brooklyn,40.638065,-73.969948,2955000.0
Brooklyn,40.644558,-73.986801,850000.0
Brooklyn,40.713791,-73.950554,999000.0
Brooklyn,40.656284,-73.919388,1268000.0
Brooklyn,40.644699,-73.994011,360000.0
Brooklyn,40.609119,-73.913116,970000.0
Brooklyn,40.579823,-73.960533,750000.0
Brooklyn,40.620098,-73.970497,490000.0
Brooklyn,40.585632,-73.943253,1200000.0
Brooklyn,40.689423,-73.988091,1950000.0
Brooklyn,40.713791,-73.950554,1050000.0
Brooklyn,40.605743,-74.006607,743000.0
Brooklyn,40.619858,-73.969139,415000.0
Brooklyn,40.619488,-73.951614,1300000.0
Brooklyn,40.621029,-74.001434,699000.0
Brooklyn,40.631775,-74.000786,1231132.0
Brooklyn,40.576988,-73.958305,880000.0
Brooklyn,40.684521,-73.995651,2615000.0
Brooklyn,40.598202,-73.995903,325000.0
Brooklyn,40.686581,-73.911224,1200000.0
Brooklyn,40.594673,-73.942474,1239999.0
Brooklyn,40.718441,-73.963882,475750.0
Brooklyn,40.593784,-73.943069,345000.0
Brooklyn,40.576916,-73.967773,285000.0
Brooklyn,40.668495,-73.915009,533000.0
Brooklyn,40.710079,-73.967567,320000.0
Brooklyn,40.699444,-73.934608,650000.0
Brooklyn,40.675129,-73.942986,2015000.0
Brooklyn,40.686607,-73.955688,1235000.0
Brooklyn,40.65456,-73.97435,1150000.0
Brooklyn,40.614937,-73.94706,179000.0
Brooklyn,40.6772,-73.977959,2100000.0
Brooklyn,40.624264,-73.908333,620000.0
Brooklyn,40.720539,-73.95591,967000.0
Brooklyn,40.603657,-73.960197,395000.0
Brooklyn,40.687553,-73.973984,510000.0
Brooklyn,40.612373,-74.035683,285000.0
Brooklyn,40.586357,-73.966873,365000.0
